way_id,building,building:levels,height
27633392,retail,5,-
31351098,house,2,-
31351102,house,2,-
31351124,house,1,-
31351158,house,2,-
31351184,house,2,-
31351196,school,3,-
31351216,house,2,-
31351288,house,2,-
31351294,house,2,-
31351302,house,2,-
32827935,apartments,17,-
32827938,apartments,17,-
32827941,apartments,17,-
32827953,apartments,21,-
32827955,apartments,21,-
32827968,yes,5,-
32827974,apartments,4,-
32827975,apartments,4,-
32827990,apartments,4,-
32828014,apartments,4,-
32828019,apartments,4,-
32828041,apartments,4,-
32828057,apartments,4,-
32828191,apartments,15,-
32828200,apartments,18,-
32836616,apartments,8,-
32836618,apartments,8,-
32836620,apartments,9,-
32836622,apartments,22,-
32836626,retail,2,-
32836632,apartments,4,-
32836633,apartments,4,-
32836643,apartments,4,-
32836644,apartments,4,-
32836648,apartments,4,-
32836649,apartments,4,-
32836650,apartments,4,-
32836655,apartments,4,-
32836663,apartments,11,-
32837476,house,2,-
32837484,house,1,-
33723608,hospital,6,-
62187096,university,3,-
62187104,university,3,-
75695109,yes,6,-
93168712,apartments,8,-
93168713,yes,2,-
93168716,apartments,7,-
93168717,apartments,9,-
93168720,apartments,4,-
93168721,apartments,4,-
93168724,apartments,12,-
93168727,apartments,9,-
93168728,yes,2,-
93168730,apartments,9,-
93168731,retail,2,-
93168732,apartments,4,-
93168733,apartments,10,-
93168740,hotel,4,-
93168741,apartments,5,-
93169100,yes,3,-
93169102,apartments,5,-
93169106,apartments,5,-
93169108,apartments,6,-
93169110,apartments,8,-
93169111,apartments,9,-
93169113,apartments,9,-
93169115,apartments,4,-
93169116,apartments,4,-
93169118,apartments,4,-
93169119,apartments,3,-
93169122,apartments,7,-
93169126,apartments,5,-
93169131,apartments,16,-
93169133,yes,2,-
93169134,apartments,4,-
93169136,apartments,5,-
93169138,apartments,9,-
93169140,apartments,11,-
93169142,apartments,5,-
93169144,apartments,5,-
93169145,apartments,4,-
93169147,apartments,7,-
93169149,apartments,4,-
93169151,apartments,7,-
93169156,apartments,8,-
93169160,retail,1,-
93169161,apartments,5,-
93169164,apartments,12,-
93169165,apartments,12,-
93169166,apartments,10,-
93169170,apartments,4,-
93171628,yes,1,-
111608910,apartments,9,-
111608913,house,2,-
111608914,retail,2,-
111608916,apartments,11,-
111608919,house,2,-
111608922,house,2,-
111608924,apartments,4,-
111608925,retail,2,-
111608926,yes,3,-
111608927,house,2,-
111608928,apartments,10,-
111608930,retail,2,-
111608931,detached,3,-
111608932,yes,2,-
111608933,house,2,-
111608934,detached,2,-
111608935,detached,2,-
111608936,retail,1,-
111608937,apartments,4,-
111608938,house,2,-
111608940,apartments,9,-
111608941,apartments,4,-
111608943,apartments,12,-
111608944,apartments,10,-
111608946,yes,3,-
111608947,apartments,11,-
111608948,apartments,9,-
111608949,yes,2,-
111608950,retail,2,-
111608951,retail,2,-
111608952,apartments,4,-
111608953,retail,2,-
111608954,apartments,6,-
111608955,apartments,9,-
111608956,apartments,11,-
111608957,hotel,8,-
111608958,apartments,4,-
111608959,retail,2,-
111608960,apartments,9,-
111608961,apartments,7,-
111608962,retail,2,-
111608964,apartments,10,-
111608966,retail,2,-
111609337,apartments,4,-
111609339,residential,17,-
111609342,apartments,15,-
111609345,apartments,4,-
111609348,apartments,8,-
111609350,apartments,8,-
111609354,apartments,6,-
111609357,apartments,8,-
111609359,apartments,4,-
