latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-22.31757,-68.88385,336.9,0.42,0.45,2026-08-26,533,N,VIIRS,n,2.0NRT,279.73,4.84,N
-22.31375,-68.87961,308.82,0.42,0.45,2026-08-26,533,N,VIIRS,n,2.0NRT,279.13,1.85,N
-22.3135,-68.88245,320.4,0.42,0.45,2026-08-26,533,N,VIIRS,n,2.0NRT,281.12,4.84,N
-34.70666,-68.08664,309.19,0.4,0.37,2026-08-26,536,N,VIIRS,n,2.0NRT,269.86,1.77,N
-34.70589,-68.09104,324.28,0.4,0.37,2026-08-26,536,N,VIIRS,n,2.0NRT,261.06,1.77,N
-29.37577,-66.7812,313.66,0.41,0.37,2026-08-26,536,N,VIIRS,n,2.0NRT,285.21,1.28,N
-38.74672,-68.84027,352.88,0.32,0.55,2026-08-26,1758,N,VIIRS,n,2.0NRT,291.23,7.89,D
-38.74648,-68.8364,367,0.32,0.55,2026-08-26,1758,N,VIIRS,h,2.0NRT,300.07,7.89,D
-38.70146,-68.70168,353.1,0.32,0.54,2026-08-26,1758,N,VIIRS,n,2.0NRT,295.65,4.51,D
-38.40861,-68.71649,337.83,0.63,0.54,2026-08-26,1758,N,VIIRS,n,2.0NRT,291.37,5.69,D
-38.22105,-68.63844,343.47,0.63,0.54,2026-08-26,1758,N,VIIRS,n,2.0NRT,295.69,6.8,D
-38.21914,-68.63912,342.91,0.63,0.54,2026-08-26,1758,N,VIIRS,n,2.0NRT,296.11,5.56,D
-38.1992,-68.72469,333.69,0.63,0.54,2026-08-26,1758,N,VIIRS,n,2.0NRT,293.91,2.37,D
-37.71477,-69.26413,333.89,0.33,0.56,2026-08-26,1758,N,VIIRS,n,2.0NRT,291.58,2.99,D
-37.51488,-69.08193,343.71,0.33,0.55,2026-08-26,1758,N,VIIRS,n,2.0NRT,295.22,2.58,D
-37.51416,-69.08398,328.39,0.33,0.55,2026-08-26,1758,N,VIIRS,n,2.0NRT,292.99,1.86,D
-37.5139,-69.08018,325.5,0.33,0.55,2026-08-26,1758,N,VIIRS,n,2.0NRT,292.37,2.32,D
-37.42602,-69.1717,331.03,0.33,0.55,2026-08-26,1758,N,VIIRS,n,2.0NRT,293.33,2.18,D
-31.78803,-68.34103,352.65,0.52,0.5,2026-08-26,1800,N,VIIRS,n,2.0NRT,305.94,25.62,D
-31.78753,-68.33543,343.29,0.52,0.5,2026-08-26,1800,N,VIIRS,n,2.0NRT,310.69,25.62,D
-31.78588,-68.34332,343.99,0.52,0.5,2026-08-26,1800,N,VIIRS,n,2.0NRT,304.18,6.36,D
-31.78535,-68.33774,354.11,0.52,0.5,2026-08-26,1800,N,VIIRS,n,2.0NRT,302.85,19.57,D
-31.73245,-68.37808,344.14,0.52,0.5,2026-08-26,1800,N,VIIRS,n,2.0NRT,301.27,27.33,D
-31.6688,-68.52522,341.54,0.53,0.5,2026-08-26,1800,N,VIIRS,n,2.0NRT,293.17,12.21,D
-31.66461,-68.53145,342.63,0.53,0.5,2026-08-26,1800,N,VIIRS,n,2.0NRT,293.19,12.21,D
-31.66356,-68.52007,334.6,0.53,0.5,2026-08-26,1800,N,VIIRS,n,2.0NRT,292.69,10.63,D
-31.61714,-68.47961,342.24,0.52,0.5,2026-08-26,1800,N,VIIRS,n,2.0NRT,294.52,6.53,D
-31.42026,-68.3816,343.54,0.52,0.5,2026-08-26,1800,N,VIIRS,n,2.0NRT,304.44,12.57,D
-30.472,-68.63837,341.91,0.52,0.5,2026-08-26,1800,N,VIIRS,n,2.0NRT,305.81,10.55,D
-30.47149,-68.63277,343.46,0.52,0.5,2026-08-26,1800,N,VIIRS,n,2.0NRT,307.5,10.55,D
-29.59962,-68.47298,337.22,0.5,0.49,2026-08-26,1800,N,VIIRS,n,2.0NRT,305.97,3.45,D
-29.56369,-66.86393,355.85,0.4,0.44,2026-08-26,1800,N,VIIRS,n,2.0NRT,303.48,8.84,D
-29.52225,-66.83125,333.69,0.4,0.44,2026-08-26,1800,N,VIIRS,n,2.0NRT,303.46,3.06,D
-28.09605,-67.519,343.9,0.42,0.45,2026-08-26,1800,N,VIIRS,n,2.0NRT,312.9,13.7,D
-28.09228,-67.52396,338.27,0.42,0.45,2026-08-26,1800,N,VIIRS,l,2.0NRT,311.63,33.48,D
-24.1808,-69.01802,342.02,0.46,0.47,2026-08-26,1802,N,VIIRS,n,2.0NRT,308.04,2.54,D
-22.3172,-68.88519,352.83,0.43,0.46,2026-08-26,1802,N,VIIRS,n,2.0NRT,313.3,8.47,D
-19.20029,-66.46503,345.19,0.45,0.39,2026-08-26,1802,N,VIIRS,n,2.0NRT,302.64,7.41,D
-18.09749,-68.6273,340.99,0.56,0.43,2026-08-26,1804,N,VIIRS,n,2.0NRT,310.34,4.52,D
-17.77763,-67.42747,337.37,0.48,0.4,2026-08-26,1804,N,VIIRS,n,2.0NRT,302.81,3.42,D
-17.60065,-68.66361,336.24,0.55,0.43,2026-08-26,1804,N,VIIRS,n,2.0NRT,310.15,5.54,D
-17.24108,-66.93105,331.85,0.45,0.39,2026-08-26,1804,N,VIIRS,n,2.0NRT,296.81,2.53,D
-17.23699,-66.92789,332.37,0.45,0.39,2026-08-26,1804,N,VIIRS,n,2.0NRT,302.14,44.33,D
-17.00202,-66.11901,332.75,0.42,0.37,2026-08-26,1804,N,VIIRS,n,2.0NRT,292.74,5.17,D
-17.00149,-66.1153,339.8,0.42,0.37,2026-08-26,1804,N,VIIRS,n,2.0NRT,295.65,4.63,D
-40.83244,-66.28678,335.67,0.55,0.68,2026-08-26,1938,N,VIIRS,n,2.0NRT,288.58,8.31,D
-40.83036,-66.28021,334.66,0.55,0.68,2026-08-26,1938,N,VIIRS,n,2.0NRT,289.14,9.98,D
-38.78107,-68.12353,343.1,0.52,0.67,2026-08-26,1938,N,VIIRS,n,2.0NRT,290.53,8.92,D
-38.74781,-68.83486,367,0.48,0.65,2026-08-26,1938,N,VIIRS,h,2.0NRT,292.49,7.57,D
-38.74199,-68.83751,347.1,0.48,0.65,2026-08-26,1938,N,VIIRS,n,2.0NRT,286.25,4.93,D
-38.70124,-68.69992,345.36,0.49,0.65,2026-08-26,1938,N,VIIRS,n,2.0NRT,289.17,4.74,D
-38.40888,-68.71593,342.94,0.5,0.66,2026-08-26,1938,N,VIIRS,n,2.0NRT,288.92,4.88,D
-38.22173,-68.63783,335.93,0.51,0.66,2026-08-26,1938,N,VIIRS,n,2.0NRT,290.52,6.34,D
-38.2191,-68.638,342.92,0.51,0.66,2026-08-26,1938,N,VIIRS,n,2.0NRT,291.49,4.11,D
-35.96677,-72.33318,346.63,0.38,0.59,2026-08-26,1938,N,VIIRS,n,2.0NRT,283.65,4.94,D
-35.96568,-72.32899,342.22,0.38,0.59,2026-08-26,1938,N,VIIRS,n,2.0NRT,284.18,4.94,D
